Year,Annual,Annual_uncertainty
1850.0,-0.418,0.1553489798986641
1851.0,-0.233,0.1963162662361142
1852.0,-0.229,0.2162057115855689
1853.0,-0.27,0.1187645605108415
1854.0,-0.292,0.0982348023303802
1855.0,-0.297,0.0829275118535593
1856.0,-0.32,0.1195369247926718
1857.0,-0.467,0.1296889441017322
1858.0,-0.389,0.093613975393041
1859.0,-0.281,0.0729124284482571
1860.0,-0.39,0.2205245482681891
1861.0,-0.429,0.2173855382085529
1862.0,-0.536,0.1901032614133697
1863.0,-0.344,0.1116839538857554
1864.0,-0.465,0.1870862100743932
1865.0,-0.332,0.1471096293773985
1866.0,-0.341,0.1874512529225191
1867.0,-0.357,0.158554122375365
1868.0,-0.352,0.1748711231799642
1869.0,-0.317,0.1854198501599366
1870.0,-0.328,0.1544251886477361
1871.0,-0.369,0.1628012378809066
1872.0,-0.328,0.1982340612900708
1873.0,-0.341,0.0894282766616167
1874.0,-0.373,0.1508603797113962
1875.0,-0.376,0.1464476584540246
1876.0,-0.424,0.1299435774993644
1877.0,-0.101,0.1999279036719653
1878.0,-0.011,0.1819763988055105
1879.0,-0.304,0.0974564005081246
1880.0,-0.316,0.0887917351008652
1881.0,-0.232,0.0948273284566333
1882.0,-0.296,0.1600033853808516
1883.0,-0.346,0.0927626526260553
1884.0,-0.492,0.0665110684188896
1885.0,-0.471,0.135258292002951
1886.0,-0.421,0.0704887697911282
1887.0,-0.499,0.101837663574054
1888.0,-0.379,0.1398852704500687
1889.0,-0.25,0.1371358561994475
1890.0,-0.507,0.0706330010217131
1891.0,-0.401,0.1138701441213728
1892.0,-0.508,0.1261225979839546
1893.0,-0.495,0.2248345070391899
1894.0,-0.484,0.0807793634262833
1895.0,-0.449,0.1162240114319469
1896.0,-0.284,0.1519525465034689
1897.0,-0.26,0.1196391275182719
1898.0,-0.486,0.1600335685272172
1899.0,-0.355,0.1602162600986554
1900.0,-0.234,0.0979024457758277
1901.0,-0.293,0.0868451287573971
1902.0,-0.439,0.0849268884917426
1903.0,-0.533,0.1235395516963427
1904.0,-0.598,0.1136518502073571
1905.0,-0.408,0.1346615098022527
1906.0,-0.319,0.0968877858945881
1907.0,-0.504,0.0894993792653831
1908.0,-0.514,0.1055910612799313
1909.0,-0.536,0.1156633945262429
1910.0,-0.531,0.1050019510400746
1911.0,-0.539,0.1423142063651178
1912.0,-0.476,0.1379453394162581
1913.0,-0.467,0.1165028313914396
1914.0,-0.262,0.095728312020124
1915.0,-0.192,0.0828264584672206
1916.0,-0.42,0.1404711318701778
1917.0,-0.543,0.1785893022800886
1918.0,-0.424,0.1643185211377247
1919.0,-0.325,0.1043793828088457
1920.0,-0.298,0.110335945336655
1921.0,-0.24,0.0687281278339193
1922.0,-0.339,0.0631796380700828
1923.0,-0.318,0.1404940439623292
1924.0,-0.312,0.0744402724784552
1925.0,-0.282,0.1444344334137658
1926.0,-0.123,0.1112280877296737
1927.0,-0.229,0.1012739340710245
1928.0,-0.206,0.082979247740357
1929.0,-0.392,0.1328648801937099
1930.0,-0.177,0.1198143239442689
1931.0,-0.103,0.0756289829070546
1932.0,-0.145,0.1066782545788972
1933.0,-0.322,0.0852099938713503
1934.0,-0.174,0.1278606826458652
1935.0,-0.206,0.1146308992181233
1936.0,-0.17,0.117360082178264
1937.0,-0.019,0.1143280793253443
1938.0,-0.012,0.0889155342008482
1939.0,-0.041,0.1384117247763192
1940.0,0.076,0.0747917479108193
1941.0,0.038,0.1002156009145615
1942.0,0.001,0.0955008362383399
1943.0,0.006,0.1099935288500595
1944.0,0.144,0.0703259771034541
1945.0,0.043,0.1137698395396991
1946.0,-0.119,0.0999698565679786
1947.0,-0.091,0.0731062297846998
1948.0,-0.125,0.1153300517355876
1949.0,-0.144,0.0648110501552182
1950.0,-0.227,0.0889375561216345
1951.0,-0.061,0.2015820070233342
1952.0,0.015,0.0850158073536915
1953.0,0.078,0.0670080840894092
1954.0,-0.117,0.0904201612227912
1955.0,-0.197,0.1290392920349801
1956.0,-0.263,0.0539095822239011
1957.0,-0.035,0.0997325590433401
1958.0,-0.018,0.103133678086043
1959.0,-0.048,0.0638376304036698
1960.0,-0.115,0.1406991224406021
1961.0,-0.02,0.0901239886674648
1962.0,-0.064,0.0568454899022096
1963.0,-0.037,0.1367825728015898
1964.0,-0.306,0.0879682313237126
1965.0,-0.204,0.0588394708791074
1966.0,-0.149,0.0735418909345022
1967.0,-0.118,0.0912016614736571
1968.0,-0.169,0.0928415615743054
1969.0,-0.031,0.1014152629319451
1970.0,-0.085,0.075025551203129
1971.0,-0.206,0.0592346440485258
1972.0,-0.094,0.1267404390433017
1973.0,0.05,0.0916073671831159
1974.0,-0.173,0.1120836741010928
1975.0,-0.111,0.0959361405079209
1976.0,-0.216,0.0913061090812414
1977.0,0.103,0.0812320065546142
1978.0,0.005,0.080232085227794
1979.0,0.091,0.1312322739352718
1980.0,0.196,0.0718143826510787
1981.0,0.25,0.1078018694436954
1982.0,0.034,0.0939885852998472
1983.0,0.224,0.0874453400702404
1984.0,0.048,0.1000087148980305
1985.0,0.05,0.0679866714878732
1986.0,0.096,0.076794458712129
1987.0,0.243,0.0748870909362146
1988.0,0.282,0.1033318548281323
1989.0,0.179,0.1007340764918538
1990.0,0.361,0.1088450414835492
1991.0,0.339,0.0793369659532469
1992.0,0.125,0.1475990251398098
